Index,text_comments
19,My uncle raped me over 30 years ago. I guess I should let it go since it was 30 yrs ago. That is basically what you're implying
19,"You just made the queer community look terrible, so, thanks. Also way to turn this into your coming out story?"
19,Holy cow. If you're reading this story and perceiving Kevin Spacey to be the hero... you're reading it wrong.
20,"“I made a mistake. And it was my fault.” 
No tears, no deep breathing or long pauses, just owning up to something like an adult. 
I still watch this because it’s relieving to know people like Jenna exist."
20,"so many youtubers make apology videos for cheating, doing terrible things, comitting crimes, doing drugs.. whatever else.. You make an apology video for your fish.. honestly I feel like you're the only sane person on this platform.. thank you for being precious and inspiring."
20,"Laura Lee: Not even a 5-minute apology video for tweeting horribly racist things
Jenna Marbles: 47 minute apology video for buying the wrong fish tank ..."
20,"things i learned:
- no circle tank
- real plants
- fish breed research
- jenna is best at fixing her mistakes
- fish cycles
- pet store employees probably ain’t shit (not always)
- jenna community is probably best community"
20,"I love how emotional she's getting over the fish, it really shows how big of a heart she has❤️"
21,Also it sounds like he is competing in a poetry slam... not apologizing.
21,how u cry with no tears. what is he sniffling for jeez.
21,This just in: Reagan is ANGERY
21,"He showed more emotion in his vlog when his dog died, he cried actual tears and looked distraught. But this 'apology' video was pure bs, all this crying with zero tears plus he looks like he's about to start laughing all the way through this. He knows his wife won't leave him and thinks he can fool everyone else too."
21,He definitely didnt get a callback
22,Imagine if he went “This video wouldn’t be possible without Raid Shadow Legends”
22,Before I start the apology: this video was sponsored by raid shadow legends
22,Bro had ChatGPT early access
22,Travis Scott’s apology makes this look like a masterpiece
22,Canadians when they accidentally bump someone on the shoulder:
23,"""That 2%"" of ignorant people you were talking about was pretty much alot of your YouTube friends and fans worried about you making those videos. No hate. Good luck."
23,"""it's not a prank, what it is IS ACTING""

this guy makes me feel smart."
23,"""Hey, sorry that I scared the shit out of thousands of my fans and made them want to harm themselves! Guess I'm just too creative :)"""
23,"so:
50% were positive fans
50% were innocent fans
and then 2% were negative?

so there’s 102 numbers in a percentage? 

ok, logic."
23,"Allow me to summarize,
""Hello I'm Jake, I am a huge douche, please don't criticize me I have very thin skin"" - Jake."
24,I'm not gonna lie I knew that would cause backlash as I watched it. But I know your intentions were not malicious at all.
24,You have a great opportunity now to do a video with a local food bank and really inform people about what they do and the types of people they service.  Everyone makes mistakes ... it's what we do to correct them that really counts. Thanks.
24,Legit u were more sorry and sincere for spending one pound in a day that Logan paul was for  showing a dead body on camera and being completely disrespectful to a suicide victim
24,I've watched u for four years. Its first time u made a right spanner of yourself. Well done for making this video but please please in future remember how lucky u are in the position ur in
24,"I despised your last video but I have such a mad respect for you owning up to your actions and calling yourself out, sets a great example for your younger viewers"
25,thank you for this lucky ily
25,"thank u for this, maloi."
25,"thank you for listening, lucky. blooms will always be here."
25,"thank you for taking accountability, and hoping that everyone will be educated moving forward. love you, maloi!
"
25,"Sometimes we win, sometimes we learn. Thank you for acknowledging and taking accountability.🫶"
26,"Honestly,
Me Apologizing to someone I hate because mom forced me to apologize"
26,"She’s not sorry for the racist tweets, she’s sorry that she got caught"
26,Her tears are as existent as jeffree star's eyebrows
26,Her tears are faker than my happiness
26,My 10 yr old self trying convince my mom not to ground me:
27,"This felt like I was sitting with a friend, it felt honest and real. THIS is an apology video."
27,Laura isn’t getting hate for the tweet. She’s getting hate for her racism. You didn’t force her to be racist. Don’t take responsibility for that.
27,"You seem very well spoken and self aware, I think you’re hanging with the wrong crowd."
27,Hands down the best apology video on YouTube
27,"I feel like you're being genuine and you got sucked into a vortex of bad energy. 
Lesson learned."
28,how are you so comically unaware
28,"Judge: Ricegum killed someone
Ricegum: Other people did it too"
28,proof that brains and money don't always go together.
28,"Omg ricegum invented a new challenge. The ""try not to apologize"" challenge"
28,Ricegum doesn’t apologize but blames other YouTubers: “That’s how Mafia works”!
29,Translation: you're just sorry you got caught and punished this time.
29,Appreciate you taking full responsibility. Us runners are a forgiving bunch. See you out on the roads somewhere else.
29,Big respect here.
29,"Such a fake apology. I’m sure if you didn’t get banned, you wouldn’t be doing this. Some “athlete”…"
29,"This is literally the third time you’ve done this and faced backlash - so why should anyone believe you are being genuine now? If you truly are sorry, do some work on yourself and try to do something for the running community that’s not motivated by your own fame. Until then, you are just expressing that you are sorry you got caught."
30,The fact that this video didn’t have a single ad
30,"When he started talking about his mother, legit his tone went aggressive like yes sis defend your mom."
30,"And the comments arent off, James...you're a king."
30,The way he was treated by the adults was not ok.
30,the fact that she cared more about your “loyalty” to her brand rather than your safety at an event 👀
31,"You handled this well, I know we don't know each other, but I'm happy you handled it like this"
31,Respect bro. I hope you find your peace with your family
31,I like how you directly addressed his points and took the blame for some stuff. Mad respect bro
31,I feel like JJ really hides his intelligence very well until he wants to show it
31,"When he said: ""stop saying my parents, and say our parents, im a part of this family"" bro my eyes started watering"
32,Unless you wrote COTTON FIBERS on the ingredients list..... They're CONTAMINATED. That's the definition of the word.
32,I’m here for the explanation for the messy lipsticks I didn’t buy
32,I encourage everyone to watch the video about Jaclyn’s lipsticks by Kenna. She is a biochemist and explains the inconsistencies in Jaclyn’s explanation.
32,"Guys Her lipstick is perfectly safe it only has plastic, metal, hairs, and unidentifiable hard black objects. Ignore the odd texture, and unpleasant odors clumpy texture and an other alarming issues. It’s totally safe ..."
32,"Why does she keep saying how her ingredients are FDA approved and safe to use? Hun, people never had any problems with the ingredients, they have issues with the CONTAMINATION. Also, good , FDA approved ingredients EXPIRE at some point, which is the other issue people have. RECALL!!!!!"
33,this year is not your year huh.
33,"If a cop caught you going nearly 100 in a 35, you would be going to jail lmao"
33,"t's definitely the most reckless thing you've done, but in the last month or so you continue to damage your reputation. First, the wallpaper app, then the speeding, now you're doing 9 minute sponsor videos you once said you'd never do.

Its digging into your overall credibility"
33,"Lots of people will remain unhappy, but this is a good apology. You did a very dumb thing (we’ve all done something stupid before), you recognize it’s dumb, and you aim to be/do better. That’s way more than most people will do. Thanks for being straight up and addressing it."
33,Good decision & respect for owning up to it so quickly
34,"I DO NOT WANT A REFUND!!  I loved the documentary. I have enjoyed my journey of watching you two on you quest for 100 countries.
Don't stop now - you have 95 countries left to see"
34,It did not remotely hurt my feelings. You guys work so hard and I didn’t have a problem paying to watch. Keep doing what you’re doing!
34,Can't believe you had 400 emails complaining about $1 charge for something you worked hard on for weeks. What is wrong with people. Keep smiling. Xx
34,Honestly stop. I've been following you through your entire journey. How on earth could anyone get angry??? You make a lot of content. You should get paid for your work. Of course you should charge for us watching a full length documentary!!! No apology please :)
34,I happily paid for the video and wished I had the budget to pay more than I did! It was incredible. I enjoyed every second. Y'all have touched so many lives and inspired so much travel and adventure. I know Kara poured her heart into it and I'm so sorry it wasn't met with everything but love. I loved seeing how you got started and they way you recapped all the countries. Can't wait to see what's next for y'all!
35,"Yes, this is how you apologize. No crying and she’s admitting her wrong without bringing others in it. I love this!"
35,"I never was a fan of her or her Miranda character. But to be completely unbiased, this was the perfect apology. WOW other youtubers need to take notes on how to make genuine and mature apologies. 👍🏾"
35,She has grown backwards. She is addressing it now with disney ukelele song.
35,im glad she stuck up for herself without pointing anyone out. she is so mature and doesn't deserve to be hated on.
35,Colleen is literally the most mature person talking abt her “mistakes” tho she is amazing and we love you Colleen ❤️
36,This episode of Black Mirror doesn't sit right with me... poor acting I guess
36,this was a 14 minute run-on sentence.
36,Someone said “you’re not this literate”
36,It sounds like the fine print of a prescription drug commercial.
36,This video feels like a teacher giving the class “the talk” after everyone treated the sub bad the day before.
37,"This is the literal definition of ""I've won, but at what cost?"""
37,Not a single dark souls joke/reference was made verdict: this man is serious
37,"No dark souls reference, I fully believe every word you say"
37,how tf people expect him to groom a kid when he cant even groom his hair
37,The first piece of content Colossal has created in a year and it's reading out fat furry roleplay
38,"For everyone saying Dom should make an apology, that probably wouldn’t be appropriate. He needs to go to jail."
38,Imagine outta no where he says “this video wouldn’t be possible without seatgeek”
38,I love how we all went and watched all the YT apologies after we watched colleen's😭
38,"Dom doesn’t need to do an apology, he needs to be in jail."
38,You know it’s an apology video when they’re adjusting the camera.
39,"Thing is, there’s a lot of comments here saying “we forgive you will” but to be honest it isn’t for us to forgive him. It’s up to Chris. He can only make that call."
39,Can’t believe Will was able to nearly perfectly pull off the YouTuber apology video after only 4 months of training.
39,Will could really use that rewind button right about now.
39,Will has undergone his full YouTuber arc which is the infamous “apology video” 
39,"""She had nothing to do with this""

She's literally the reason for this, on multiple fronts."
40,The Liver King is speedrunning the influencer lifestyle. Barely a year in the game and he's already making an apology video lmao
40,The fact that people believed he was natty at all is mind boggling
40,“I lied because people are killing themselves” is a wild take
40,"I had major depression… and attempted suicide many times.

But I was saved, when a millionaire with an unachievable physique, lied about not abusing steroids.

Now I’m cured of depression."
40,"New Ancestral Tenents: 

1. Be a liar.
2. Mislead your audience.
3. Double down on lies whenever asked because $$$ involved.
4. When found out try scape-goating men's mental health 
5. Step 4 only necessary IF exposed."
41,iDubbbz is the only person on the internet who didn't get canceled for being racist and got canceled for not being racist.
41,"For what it’s worth, I’ll always remember you as the guy who heard “say something gay”, jumped from the countertop and said “I’m gay”. Genuinely peak of comedy."
41,"You weren't funny because you were offensive, you are just a very funny dude. You can be the self aware you and still be funny."
41,There are some people who fully deserved the content cop that they got.
41,This is the most Australian looking non-Australian ever.
42,Apology video ft bloopers 
42,It's over for bro
42,What happened?
42,what a sincere apology
42,Apology with bloopers is crazy
43,YOU SHOULDVE LISTENED TO THE PR TEAM GIRL
43,This response was a choice
43,I actually can't believe this is real. The sad thing is that it is clear she put a bunch of effort into this song.
43,I had a feeling Colleen would come back and do something like this
43,"Well, I have to hand it to her. This is the most original apology video I’ve seen."
44,"""Don‘t judge a company for errors, look how they react to critique."" - Linus Sebastian. You said it, now live and work by it."
44,"You gotta hire a QA/QC specialist for your all testing projects in labs, never let the person that makes something also control the quality."
44,Those $500 they saved by not testing the water block properly has cost them a tiny bit more than expected
44,Terrence my guy good job on reading from the teleprompter  without blinking even once
44,"Well, this certainly takes us back to Linus own words: ""Always judge a company based on how they respond to criticism""."
45,this man threatened sexual violence against a small child.... he does not need a platform. he's lost it on women too and showed what his dad does to his mom behind closed doors.
45,We made the wrong guy famous 
45,Its an apology not a stuttering contest
45,"Lyrics:

yap yap yap yap yap yap umm yap yap yap umm yap yap yap yap umm umm yap yap yap umm yap yap yap yap yap yap yap yap umm yap

I counted a total of 23 umms in this video. "
45,Sure bro. We'll see. How many times u gonna apologize
46,The ex-buzzfeed employee to three guys on the apology couch pipeline is insane 💀
46,My favorite videos from Watcher are still the pandemic “are you scared” vids where it’s just Ryan and Shane on zoom. Please don’t feel like you have to blow your budget on production when we just want to see y’all hang out and tell each other scary stories. I love you guys and felt like your shows gave me some much needed laughs during a difficult time. Thank you for hearing our concerns and actually making changes. It really means a lot.
46,"as someone who STILL binge watches buzzfeed unsolved videos to this day, i have to say that it really saddens me to see how these guys have evolved. we never asked for these fancy production rooms and effects, we watched because of the relationship between ryan and shane. you guys could shoot a video inside a cardboard box and i wouldn't care because i’m here for the personality, not the special graphics"
46,"Y'all need to know we would watch Shane and Ryan walk through and ambiguously haunted vet clinic with two iphone cameras live streaming. We dont need the fancy stuff.

My favourite videos are where its just those two reading stories/hanging out. Youve got two great personalities and a dynamic duo. No need to overpower it with a bunch of unnecessary expenses"
46,"you either die a hero, or live long enough to see yourself become 3 guys on a couch"
47,"Why are you apologizing? Stop giving into this cancel culture shit, like it's really not that serious"
47,Lmao truth = forced apology. China doesn't care about the environment
47,People should be more upset about the pollution than commenting on it.
47,"Kyedae I think I speak for everyone when I say we forgive you, your apology has been accepted and we are no longer angry. 谢谢 😸"
47,Why are people mad about this? It's just a fact that China's air is polluted and can be damageable to more vulnerable people in regards to health
48,Its giving my pastor told me I had to make ammends to make it into heaven so here I am doing the bare minimum.
48,To apologize to everyone and no one at the same time is a talent she definitely has.
48,"Thank you Gabbie, i'm happy to see you in a better place now <3"
48,"This is not an apology. This is performative and self aggrandisement. Apologise to the individuals you wronged, you called one of them a talentless loser a few weeks ago, that's who you really are, and not everyone buys this rebrand. Do better."
48,"This is not how a grown adult apologizes.  What are you sorry for? Who are you saying sorry to? What behaviors are referring to? This is performative, insincere and just as vague as any other ‘apology’ she’s ever offered anyone."
49,Tama nga naman Julie. Talaga lang may mga feeling perfect. Just stand still and learn the lesson from it.
49,"Yan ang tunay na Julie anne san Jose, marunong tumanggap ng kamalian."
49,"Hugs Clarita, God bless you"
49,Naintindihan ko
49,It's ok mas nagkasala pa ung nag bash sayu
